company_key,company,from_year,to_year,city,state,country,basis,source,note
texaco,"Texaco, Inc.",1955,1976,New York City,New York,United States,inferred,"Wikipedia: Texaco — ""leased 14 floors of the Chrysler Building in Midtown Manhattan"" (1930s); ""move to Westchester County in 1977""","The 1977 move is sourced and dates the END of the New York City era. The START is our listing floor, not a claim about 1926."
texaco,"Texaco, Inc.",1977,2001,Harrison,New York,United States,sourced,"Wikipedia: Texaco — ""headquartered in Harrison, New York, near White Plains""; ""move to Westchester County in 1977""","Harrison is in Westchester. Runs to the Chevron acquisition, which is also the last listing year."
mobil,Mobil Corporation,1955,1986,New York City,New York,United States,inferred,"Wikipedia: Mobil — headquarters given as Fairfax County, Virginia with NO date",🔴 RULING NEEDED. The article dates nothing before 2015. Mobil was at 150 E 42nd St until the Fairfax move in the late 1980s; the 1987 boundary is my recollection and is NOT sourced.
mobil,Mobil Corporation,1987,1999,Fairfax County,Virginia,United States,inferred,"Wikipedia: Mobil — ""The former Mobil headquarters in Fairfax County, Virginia""",🔴 RULING NEEDED on the start year. The location is certain; only the boundary is not.
amoco,Amoco Corporation,1955,1998,Chicago,Illinois,United States,inferred,"Wikipedia: Amoco — ""headquartered in Chicago""; ""the Amoco Building (also called the Standard Oil Building… now the Aon Center) in Chicago, Illinois""","Undated in the source, but Standard Oil of Indiana was Chicago-based for its whole corporate life, so the listing span is covered by one value. Low risk."
atlantic richfield,Atlantic Richfield Company,1966,1970,New York City,New York,United States,sourced,"Wikipedia: Atlantic Richfield Company — headquarters New York City 1966-1971",Company formed 1966 from Atlantic Refining + Richfield Oil.
atlantic richfield,Atlantic Richfield Company,1971,2000,Los Angeles,California,United States,sourced,"Wikipedia: Atlantic Richfield Company — ""ARCO Plaza in Los Angeles at the corner of 5th and Flower Streets"", 1971-2000",Runs to the BP acquisition and the last listing year.
atlantic richfield,Atlantic Richfield Company,1955,1965,Philadelphia,Pennsylvania,United States,inferred,🔴 NOT YET SOURCED,"🔴 RULING NEEDED, and an ERA-NAME issue as well as an HQ one. Fortune's rows for 1955-1965 are back-named ""Atlantic Richfield"" but the company was The Atlantic Refining Company of Philadelphia until the 1966 merger. Needs a row in era_names.csv too."
chrysler,Chrysler Corporation,1955,1995,Highland Park,Michigan,United States,sourced,"Wikipedia: Chrysler — ""headquartered in the Detroit enclave of Highland Park, where it remained until completing the move to its present Auburn Hills location in 1996""",Fully dated by the source. Highland Park is a separate municipality inside Detroit and should map to the Detroit metro.
chrysler,Chrysler Corporation,1996,1998,Auburn Hills,Michigan,United States,sourced,"Wikipedia: Chrysler — ""completing the move to its present Auburn Hills location in 1996""",Runs to the Daimler merger and the last listing year.
bethlehem steel,Bethlehem Steel Corporation,1955,2003,Bethlehem,Pennsylvania,United States,sourced,"Wikipedia: Bethlehem Steel — ""From its founding in 1857 through its 2003 dissolution, Bethlehem Steel's headquarters were based in Bethlehem, Pennsylvania""",The cleanest case in the batch: the source states location AND both bounds explicitly.
cbs,CBS,1955,1995,New York City,New York,United States,inferred,"Wikipedia: CBS — ""Founded in 1927 as a radio network, headquartered at the CBS Building in New York City""","Undated in the source but CBS was New York throughout the listing span (485 Madison Ave, then Black Rock from 1965). Low risk, one span."
ralston purina,Ralston Purina Company,1955,2001,St. Louis,Missouri,United States,inferred,"Wikipedia: Ralston Purina — ""was an American conglomerate, based in St. Louis""; founded 1894, defunct 2001-01-12","Undated in the source but Checkerboard Square, St. Louis was the HQ for the company's whole life. Low risk, one span."
honeywell intl,Honeywell Intl.,1955,1995,Minneapolis,Minnesota,United States,inferred,🔴 INFOBOX IS THE SUCCESSOR'S,"🔴 The infobox says Charlotte, North Carolina — that is TODAY'S Honeywell. Fortune's 1955-1995 rows are Honeywell Inc. of Minneapolis, before the 1999 AlliedSignal merger. Confident on the city, unsourced in this extract."
intl business machines,Intl. Business Machines,1955,1963,New York City,New York,United States,inferred,"Wikipedia: IBM — infobox gives Armonk, New York (current)",🔴 RULING NEEDED on the boundary. IBM was at 590 Madison Avenue before the Armonk move; the 1964 boundary is my recollection and is not in the extract.
intl business machines,Intl. Business Machines,1964,1995,Armonk,New York,United States,inferred,"Wikipedia: IBM — infobox ""1 Orchard Road, Armonk, New York""",Location certain and unchanged since; only the start year is unproven. Armonk is Westchester and maps to the New York metro either way.
exxon mobil,Exxon Mobil,1955,1988,New York City,New York,United States,inferred,"Wikipedia: ExxonMobil — infobox gives Spring, Texas (2015+, wrong era)","🔴 Fortune back-names these rows ""Exxon Mobil""; the company was Standard Oil Co. (New Jersey) then Exxon, at 30 Rockefeller Plaza. Era-name row already exists in era_names.csv."
exxon mobil,Exxon Mobil,1989,1995,Irving,Texas,United States,inferred,"CORROBORATED: Wikidata Q4781944 (Exxon) carries a DATED P159 of Las Colinas 1989-1999, loaded this session for the separate `exxon` key","Two independent sources agree on the 1989 boundary, which is why this one is worth more than the usual inference. Las Colinas is a district of Irving."
general electric,General Electric,1955,1973,New York City,New York,United States,inferred,"Wikipedia: General Electric — infobox gives Boston (2016+, wrong era); founded 1892 in Schenectady",🔴 RULING NEEDED. GE was at 570 Lexington Avenue before the Fairfield move; the 1974 boundary is not in the extract.
general electric,General Electric,1974,1995,Fairfield,Connecticut,United States,inferred,"Wikipedia: General Electric — infobox gives Boston, which post-dates the listing span entirely",🔴 RULING NEEDED on the start year. Fairfield is the right era for most of this span; Boston would be wrong for all of it.
