team,league,value_usd_m,year,source,source_url,method,confidence,notes
Como,Italy,120,2025,Calcio e Finanza (Como bilancio 2025),https://www.calcioefinanza.it/2025/12/10/como-bilancio-2025-ricavi-costi-perdite/,speculative,medium,"FY2024-25 revenue EUR55.4m x 2.0 Serie A multiple, EUR/USD 1.08. Owners' Hartono investment price never disclosed."
SS Lazio,Italy,561,2026,Football Benchmark EV via Radio Marte,https://www.radiomarte.it/football-benchmark-il-napoli-vale-967-milioni-quarto-club-di-a/,published,high,"Football Benchmark enterprise value EUR519m (2026 edition), EUR/USD 1.08."
Bologna FC,Italy,484,2025,Calcio e Finanza Serie A revenue ranking 2024-25,https://www.calcioefinanza.it/2026/02/02/serie-a-classifica-ricavi-2024-2025-inter-juventus-milan/,speculative,medium,"2024-25 revenue about EUR224m, lifted by Champions League, x 2.0 multiple, EUR/USD 1.08."
Torino FC,Italy,265,2025,Calcio e Finanza (Torino bilancio 2025),https://www.calcioefinanza.it/2026/04/17/torino-bilancio-2025-fatturato-costi-risultato-netto/,speculative,medium,"FY2025 revenue EUR122.5m x 2.0 Serie A multiple, EUR/USD 1.08."
Sassuolo,Italy,153,2025,Calcio e Finanza (Sassuolo bilancio 2025),https://www.calcioefinanza.it/2026/04/18/sassuolo-bilancio-2025-rosso-38-milioni-fatturato-costi/,speculative,low,"FY2025 revenue EUR70.7m, period partly in Serie B, x 2.0 multiple, EUR/USD 1.08."
Cagliari,Italy,153,2025,Calcio e Finanza (Cagliari bilancio 2025),https://www.calcioefinanza.it/2026/01/16/cagliari-bilancio-2025-calcio-fatturato-costi-debiti/,speculative,medium,"FY2024-25 total revenue EUR70.8m x 2.0 Serie A multiple, EUR/USD 1.08."
US Lecce,Italy,233,2025,Calcio e Finanza (Lecce bilancio 2025),https://www.calcioefinanza.it/2026/01/23/lecce-bilancio-2025-fatturato-utile-plusvalenze/,speculative,low,"FY2024-25 turnover EUR107.9m x 2.0, EUR/USD 1.08. Figure likely inflated by player-sale gains; recurring revenue is lower."
Venezia,Italy,73,2025,Calcio e Finanza (Venezia bilancio 2025),https://www.calcioefinanza.it/2025/11/22/venezia-bilancio-2025-fatturato-costi-debiti/,speculative,low,"FY2024-25 revenue EUR51.8m, earned in Serie A, x 1.3 second-tier multiple, EUR/USD 1.08."
Monza,Italy,32,2025,Calcio e Finanza (Beckett Layne purchase),https://www.calcioefinanza.it/2025/09/26/beckett-layne-patrimonio-acquisto-monza-bond/,transaction,medium,"Beckett Layne paid EUR30m equity for 100 percent, Sept 2025, EUR/USD 1.08. Equity only; debt and bond excluded, so EV understated."
Athletic Bilbao,Spain,335,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR155m x 2.0 LaLiga multiple, EUR/USD 1.08."
Villarreal CF,Spain,309,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR143m x 2.0 LaLiga multiple, EUR/USD 1.08."
Valencia CF,Spain,214,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR99m x 2.0 LaLiga multiple, EUR/USD 1.08."
Celta Vigo,Spain,231,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR107m x 2.0 LaLiga multiple, EUR/USD 1.08."
Rayo Vallecano,Spain,108,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR50m x 2.0 LaLiga multiple, EUR/USD 1.08."
RCD Espanyol,Spain,179,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR83m x 2.0, EUR/USD 1.08. Velocity Sports majority purchase price undisclosed."
Deportivo Alaves,Spain,164,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR76m x 2.0 LaLiga multiple, EUR/USD 1.08."
CA Osasuna,Spain,173,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR80m x 2.0 LaLiga multiple, EUR/USD 1.08."
VfB Stuttgart,Germany,880,2026,2026 club valuation list as tabulated on Wikipedia,https://en.wikipedia.org/wiki/Forbes_list_of_the_most_valuable_football_clubs,published,medium,"Published 2026 valuation USD0.88bn, already in USD. Secondary source; confirm whether Forbes or Sportico before loading."
AS Monaco,France,302,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR140m used as revenue proxy x 2.0, EUR/USD 1.08."
OGC Nice,France,259,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR120m used as revenue proxy x 2.0, EUR/USD 1.08."
RC Strasbourg,France,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
LOSC Lille,France,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
Stade Rennais,France,238,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR110m used as revenue proxy x 2.0, EUR/USD 1.08."
RC Lens,France,130,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR60m, reportedly halved, x 2.0, EUR/USD 1.08."
FC Lorient,France,130,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR60m used as revenue proxy x 2.0, EUR/USD 1.08."
Toulouse FC,France,108,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR50m used as revenue proxy x 2.0, EUR/USD 1.08."
AJ Auxerre,France,86,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR40m used as revenue proxy x 2.0, EUR/USD 1.08."
Stade Brestois,France,76,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR35m used as revenue proxy x 2.0, EUR/USD 1.08."
Le Havre AC,France,54,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR25m used as revenue proxy x 2.0, EUR/USD 1.08."
Angers SCO,France,54,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 budget EUR25m used as revenue proxy x 2.0, EUR/USD 1.08."
FC Nantes,France,70,2026,le11hdf.fr citing Sportune budgets 2025-26,https://le11hdf.fr/ligue-1-budgets-saison-2025-2026/,speculative,low,"Estimated 2025-26 Ligue 1 budget EUR50m x 1.3 second-tier multiple, EUR/USD 1.08."
Aberdeen,Scotland,37,2025,Aberdeen FC annual accounts statement,https://www.afc.co.uk/2025/11/14/aberdeen-fc-reports-continued-robust-financial-performance-in-latest-accounts/,speculative,medium,"Turnover GBP21.7m, year to June 2025, x 1.3 Scotland multiple, GBP/USD 1.32."
Motherwell,Scotland,13,2025,Scottish Football Info (club accounts),https://www.scottishfootball.info/p/the-motherwell-football-and-athletic,speculative,medium,"Record turnover GBP7.3m, year to May 2025, x 1.3 multiple, GBP/USD 1.32."
St. Mirren,Scotland,15,2025,Scottish Football Info (club accounts),https://www.scottishfootball.info/p/st-mirren-fc-annual-report-year-ending,speculative,medium,"Turnover GBP8.6m, year to May 2025, x 1.3 multiple, GBP/USD 1.32."
