team,league,value_usd_m,year,source,source_url,method,confidence,notes,hold_reason
Gil Vicente FC,Primeira Liga,35,2025,"General knowledge estimate, no specific published figure",https://www.rum.pt/gil-vicente-bate-20-me-de-receita-no-inverno-rio-ave-e-famalicao-acima-dos-10-me/,speculative,low,"Estimated revenue about EUR18m times 1.8x default multiple, EUR/USD 1.081, low confidence",revenue figure is a general estimate with no published source
CD Nacional Madeira,Primeira Liga,18,2025,"General knowledge estimate, no specific published figure",https://pt.wikipedia.org/wiki/Futebol_Clube_Famalic%C3%A3o,speculative,low,"Estimated revenue about EUR9m times 1.8x default multiple, EUR/USD 1.081, low confidence",revenue figure is a general estimate with no published source
CF Estrela Amadora,Primeira Liga,18,2025,"General knowledge estimate, no specific published figure",https://observador.pt/2026/08/24/antigas-e-atuais-estrelas-do-futebol-um-executivo-ex-bayern-e-o-sonho-do-top-8-quem-e-o-grupo-de-investidores-que-viu-a-estrela-na-amadora/,speculative,low,"New investor group 2026, price not disclosed, estimated revenue EUR9m times 1.8x, EUR/USD 1.081",revenue figure is a general estimate with no published source
CS Maritimo,Primeira Liga,19,2025,"General knowledge estimate, no specific published figure",https://eco.sapo.pt/2025/08/07/58-das-equipas-do-futebol-portugues-tem-acionistas-estrangeiros-talento-e-formacao-atraem-investidores/,speculative,low,"Estimated revenue about EUR10m times 1.8x default multiple, EUR/USD 1.081, low confidence",revenue figure is a general estimate with no published source
FC Arouca,Primeira Liga,21,2025,"General knowledge estimate, no specific published figure",https://eco.sapo.pt/2025/08/07/58-das-equipas-do-futebol-portugues-tem-acionistas-estrangeiros-talento-e-formacao-atraem-investidores/,speculative,low,"Estimated revenue about EUR11m times 1.8x default multiple, EUR/USD 1.081, low confidence",revenue figure is a general estimate with no published source
Istanbul Basaksehir FK,Süper Lig,53,2025,"General knowledge estimate, no specific published figure",https://www.turkiyetoday.com/business/turkish-football-clubs-market-cap-tops-12b-on-borsa-istanbul-galatasaray-leads-3209020,speculative,low,"Not listed on Borsa Istanbul, estimated revenue about USD35m times 1.5x default multiple",revenue figure is a general estimate with no published source
Amedspor,Süper Lig,9,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Small newly promoted club, estimated revenue about USD6m times 1.5x default multiple, very low confidence",revenue figure is a general estimate with no published source
Samsunspor,Süper Lig,42,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD28m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Göztepe AS,Süper Lig,30,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD20m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Çaykur Rizespor,Süper Lig,27,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD18m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Kasımpaşa SK,Süper Lig,27,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD18m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Gençlerbirliği,Süper Lig,18,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Estimated revenue about USD12m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Kocaelispor,Süper Lig,15,2025,"General knowledge estimate, no specific published figure",https://en.wikipedia.org/wiki/S%C3%BCper_Lig,speculative,low,"Newly promoted club, estimated revenue about USD10m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
Alanyaspor,Süper Lig,30,2025,"General knowledge estimate, no specific published figure",https://www.idman.biz/en/news/football/82108,speculative,low,"Estimated revenue about USD20m times 1.5x default multiple, low confidence",revenue figure is a general estimate with no published source
