team,league,value_usd_m,year,source,source_url,method,confidence,notes
Como,Serie A,120,2025,Calcio e Finanza (Como bilancio 2025),https://www.calcioefinanza.it/2025/12/10/como-bilancio-2025-ricavi-costi-perdite/,speculative,medium,"FY2024-25 revenue EUR55.4m x 2.0 Serie A multiple, EUR/USD 1.08. Owners' Hartono investment price never disclosed."
SSC Napoli,Serie A,1044,2026,Football Benchmark EV via Radio Marte,https://www.radiomarte.it/football-benchmark-il-napoli-vale-967-milioni-quarto-club-di-a/,published,high,"Football Benchmark enterprise value EUR967m (2026 edition), EUR/USD 1.08."
Atalanta,Serie A,689,2026,Football Benchmark EV via Radio Marte,https://www.radiomarte.it/football-benchmark-il-napoli-vale-967-milioni-quarto-club-di-a/,published,high,"Football Benchmark enterprise value EUR638m (2026 edition), EUR/USD 1.08."
SS Lazio,Serie A,561,2026,Football Benchmark EV via Radio Marte,https://www.radiomarte.it/football-benchmark-il-napoli-vale-967-milioni-quarto-club-di-a/,published,high,"Football Benchmark enterprise value EUR519m (2026 edition), EUR/USD 1.08."
Bologna FC,Serie A,484,2025,Calcio e Finanza Serie A revenue ranking 2024-25,https://www.calcioefinanza.it/2026/02/02/serie-a-classifica-ricavi-2024-2025-inter-juventus-milan/,speculative,medium,"2024-25 revenue about EUR224m, lifted by Champions League, x 2.0 multiple, EUR/USD 1.08."
Torino FC,Serie A,265,2025,Calcio e Finanza (Torino bilancio 2025),https://www.calcioefinanza.it/2026/04/17/torino-bilancio-2025-fatturato-costi-risultato-netto/,speculative,medium,"FY2025 revenue EUR122.5m x 2.0 Serie A multiple, EUR/USD 1.08."
Sassuolo,Serie A,153,2025,Calcio e Finanza (Sassuolo bilancio 2025),https://www.calcioefinanza.it/2026/04/18/sassuolo-bilancio-2025-rosso-38-milioni-fatturato-costi/,speculative,low,"FY2025 revenue EUR70.7m, period partly in Serie B, x 2.0 multiple, EUR/USD 1.08."
Cagliari,Serie A,153,2025,Calcio e Finanza (Cagliari bilancio 2025),https://www.calcioefinanza.it/2026/01/16/cagliari-bilancio-2025-calcio-fatturato-costi-debiti/,speculative,medium,"FY2024-25 total revenue EUR70.8m x 2.0 Serie A multiple, EUR/USD 1.08."
US Lecce,Serie A,233,2025,Calcio e Finanza (Lecce bilancio 2025),https://www.calcioefinanza.it/2026/01/23/lecce-bilancio-2025-fatturato-utile-plusvalenze/,speculative,low,"FY2024-25 turnover EUR107.9m x 2.0, EUR/USD 1.08. Figure likely inflated by player-sale gains; recurring revenue is lower."
Venezia,Serie B,73,2025,Calcio e Finanza (Venezia bilancio 2025),https://www.calcioefinanza.it/2025/11/22/venezia-bilancio-2025-fatturato-costi-debiti/,speculative,low,"FY2024-25 revenue EUR51.8m, earned in Serie A, x 1.3 second-tier multiple, EUR/USD 1.08."
Monza,Serie B,32,2025,Calcio e Finanza (Beckett Layne purchase),https://www.calcioefinanza.it/2025/09/26/beckett-layne-patrimonio-acquisto-monza-bond/,transaction,medium,"Beckett Layne paid EUR30m equity for 100 percent, Sept 2025, EUR/USD 1.08. Equity only; debt and bond excluded, so EV understated."
Athletic Bilbao,La Liga,335,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR155m x 2.0 LaLiga multiple, EUR/USD 1.08."
Villarreal CF,La Liga,309,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR143m x 2.0 LaLiga multiple, EUR/USD 1.08."
Valencia CF,La Liga,214,2025,Cronica Global LaLiga budgets 2024-25,https://cronicaglobal.elespanol.com/culemania/palco/20250213/todos-los-presupuestos-de-liga-primera-division/923657741_0.html,speculative,medium,"Approved 2024-25 budget EUR99m x 2.0 LaLiga multiple, EUR/USD 1.08."
