rank,slug,name,country,score,pop,score_value,partner_slug,partner_name,severing_condition,case_id,note
215,lahore,Lahore,Pakistan,12.6,14579989,1947,amritsar,Amritsar,Partition border,fc01,"Severed at the Wagah border since Partition. Fifty kilometres apart, a single Punjabi urban system for centuries before 1947, two countries since."
927,amritsar,Amritsar,India,1.7,2490656,1947,lahore,Lahore,Partition border,fc01,"Severed at the Wagah border since Partition. Fifty kilometres apart, a single Punjabi urban system for centuries before 1947, two countries since."
445,nicosia,Nicosia,Cyprus,5.2,249058,1974,north-nicosia,North Nicosia,UN-monitored Green Line,fc02,"The only divided capital in Europe. Split along the UN-administered Green Line since 1974; one urban fabric, two unrecognised governance zones, one open border crossing point."
3722,north-nicosia,North Nicosia,Cyprus,0.0,78655,1974,nicosia,Nicosia,UN-monitored Green Line,fc02,"The only divided capital in Europe. Split along the UN-administered Green Line since 1974; one urban fabric, two unrecognised governance zones, one open border crossing point."
272,kinshasa,Kinshasa,Congo DR,9.3,15006036,1960,brazzaville,Brazzaville,No surface link,fc03,"The only adjacent national capitals on Earth without a direct surface connection. Five kilometres of the Congo River, no bridge, no rail, ferries only; a combined twenty-million-person urban region operating as two."
761,brazzaville,Brazzaville,Congo,2.4,2146328,1960,kinshasa,Kinshasa,No surface link,fc03,"The only adjacent national capitals on Earth without a direct surface connection. Five kilometres of the Congo River, no bridge, no rail, ferries only; a combined twenty-million-person urban region operating as two."
62,detroit,Detroit,United States,39.1,5430523,2001,windsor,Windsor,Hardened border,fc04,"A single labor and consumer market across the Detroit River, slowed by post-9/11 border friction. The Windsor-Detroit corridor still handles roughly a quarter of total US-Canada trade despite the freeze."
1185,windsor,Windsor,Canada,1.2,483950,2001,detroit,Detroit,Hardened border,fc04,"A single labor and consumer market across the Detroit River, slowed by post-9/11 border friction. The Windsor-Detroit corridor still handles roughly a quarter of total US-Canada trade despite the freeze."
53,san-diego,San Diego,United States,42.1,3298799,2001,tijuana,Tijuana,Hardened border,fc05,"Twenty million people across one of the busiest land borders on Earth. One labor market, two governance regimes; San Diego's economy depends on cross-border manufacturing, Tijuana's on remittance flows and tourism."
564,tijuana,Tijuana,Mexico,3.8,2157853,2001,san-diego,San Diego,Hardened border,fc05,"Twenty million people across one of the busiest land borders on Earth. One labor market, two governance regimes; San Diego's economy depends on cross-border manufacturing, Tijuana's on remittance flows and tourism."
