team,league,value_usd_m,year,source,source_url,method,confidence,notes
Athletic Bilbao,Spain,324,2025,Wikipedia (club page; no revenue disclosed),https://en.wikipedia.org/wiki/Athletic_Bilbao,speculative,low,"Revenue estimate ~EUR150m x2.0. FX EUR/USD 1.08. No revenue figure found on fetched page, estimate from public reporting."
Villarreal CF,Spain,281,2025,Wikipedia (club page; no revenue disclosed),https://en.wikipedia.org/wiki/Villarreal_CF,speculative,low,"Revenue estimate ~EUR130m x2.0. FX EUR/USD 1.08. No figure on fetched page, general estimate used."
Valencia CF,Spain,259,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Valencia_CF,speculative,low,Revenue estimate ~EUR120m x2.0. FX EUR/USD 1.08. Page notes Peter Lim era losses but no current revenue figure.
Celta Vigo,Spain,151,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Celta_Vigo,speculative,low,"Revenue estimate ~EUR70m x2.0. FX EUR/USD 1.08. Page mentions a 2016 EUR100m takeover offer, not used as EV."
Bayer Leverkusen,Germany,497,2025,Wikipedia (club page; Bayer AG withholds accounts),https://de.wikipedia.org/wiki/Bayer_04_Leverkusen,speculative,low,Revenue estimate ~EUR230m (treble-winning 2023-24 season) x2.0. FX EUR/USD 1.08. Bayer AG does not publish club accounts.
RB Leipzig,Germany,626,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/RB_Leipzig,speculative,low,"Revenue estimate ~EUR290m x2.0. FX EUR/USD 1.08. No current figure on fetched page, general estimate used."
Borussia Monchengladbach,Germany,324,2025,Wikipedia (club page),https://de.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach,speculative,low,Revenue estimate ~EUR150m x2.0. FX EUR/USD 1.08. No current revenue figure found on fetched page.
SC Freiburg,Germany,238,2025,Wikipedia (club page),https://de.wikipedia.org/wiki/SC_Freiburg,speculative,low,Revenue estimate ~EUR110m x2.0. FX EUR/USD 1.08. Page only had a decade-old profit figure.
VfL Wolfsburg,Germany,302,2025,Wikipedia (club page),https://de.wikipedia.org/wiki/VfL_Wolfsburg,speculative,low,"Revenue estimate ~EUR140m x2.0. FX EUR/USD 1.08. Page had VW sponsorship payments only, not total revenue."
Werder Bremen,Germany,216,2025,Wikipedia (club page),https://de.wikipedia.org/wiki/SV_Werder_Bremen,speculative,low,Revenue estimate ~EUR100m x2.0. FX EUR/USD 1.08. No revenue figure on fetched page.
Union Berlin,Germany,264,2025,"Wikipedia (club page, cites 2021-22 accounts)",https://de.wikipedia.org/wiki/1._FC_Union_Berlin,speculative,low,Estimate replaces a 2025 brand-value proxy; underlying data from 2022. Actual revenue EUR122.1m for 2021-22 season x2.0. FX EUR/USD 1.08. Most recent figure found; club revenue likely higher now.
Atalanta,Italy,367,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Atalanta_B.C.,speculative,low,Revenue estimate ~EUR170m x2.0. FX EUR/USD 1.08. Pagliuca 2022 stake price undisclosed on fetched page.
SS Lazio,Italy,378,2025,"Wikipedia (club page, H2 2024 accounts)",https://en.wikipedia.org/wiki/SS_Lazio,speculative,low,"H1 (Jun-Dec 2024) revenue EUR87.5m annualized to ~EUR175m, x2.0. FX EUR/USD 1.08."
Bologna FC,Italy,216,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Bologna_F.C._1909,speculative,low,Revenue estimate ~EUR100m x2.0. FX EUR/USD 1.08. Only a 2015 loss figure found on fetched page.
Torino FC,Italy,173,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Torino_F.C.,speculative,low,Revenue estimate ~EUR80m x2.0. FX EUR/USD 1.08. No financial figures on fetched page beyond 2005 bankruptcy history.
Olympique de Marseille,France,558,2025,Deloitte Football Money League (Wikipedia),https://en.wikipedia.org/wiki/Deloitte_Football_Money_League,speculative,medium,Estimate replaces a 2025 brand-value proxy; underlying data from 2024. Actual 2023-24 revenue EUR258.4m (Deloitte Money League) x2.0. FX EUR/USD 1.08.
Olympique Lyonnais,France,972,2022,"Wikipedia (club page, Eagle Football deal)",https://en.wikipedia.org/wiki/Olympique_Lyonnais,transaction,high,John Textor/Eagle Football acquired 77.49% stake in Dec 2022 at a club valuation of EUR900m including debt. FX EUR/USD 1.08.
RC Lens,France,194,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/RC_Lens,speculative,low,Revenue estimate ~EUR90m x2.0. FX EUR/USD 1.08. No financial figures found on fetched page.
AS Monaco,France,324,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/AS_Monaco_FC,speculative,low,Revenue estimate ~EUR150m x2.0. FX EUR/USD 1.08. No Rybolovlev stake sale price found on fetched page.
OGC Nice,France,205,2025,"Wikipedia (club page, 2025-26 sale process)",https://en.wikipedia.org/wiki/OGC_Nice,speculative,medium,"Estimate replaces a 2025 brand-value proxy; underlying data from 2026. Reported offer or asking price, not a completed sale. INEOS reduced asking price for the club below EUR200m in Jan 2026 after failing to sell above that level; used EUR190m. FX EUR/USD 1.08."
LOSC Lille,France,216,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/LOSC_Lille,speculative,low,Revenue estimate ~EUR100m x2.0. FX EUR/USD 1.08. Only transfer fee figures found on fetched page.
Stade Rennais,France,194,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Stade_Rennais_F.C.,speculative,low,Revenue estimate ~EUR90m x2.0. FX EUR/USD 1.08. No financial figures found on fetched page.
FC Nantes,France,84,2025,"Wikipedia (club page, 2025-26 relegation)",https://en.wikipedia.org/wiki/FC_Nantes,speculative,low,Estimate replaces a 2025 brand-value proxy; underlying data from 2026. Now in Ligue 2 after 2025-26 relegation; revenue estimate ~EUR60m x1.3 second-tier multiple. FX EUR/USD 1.08.
Stade Brestois,France,108,2025,Wikipedia (club page),https://en.wikipedia.org/wiki/Stade_Brestois_29,speculative,low,Revenue estimate ~EUR50m x2.0. FX EUR/USD 1.08. No financial figures found on fetched page.
