company_key,company,listed_from,listed_to,board_rows,your_round1_answer,why_unconfirmed,article_i_checked
atlantic richfield,Atlantic Richfield Company,1955,2000,43,"1955-1971 Philadelphia, Pennsylvania | 1972-2000 Los Angeles, California","DISPUTED. You gave Philadelphia 1955-1971 then Los Angeles 1972-2000 and marked it certain. Wikipedia states a New York City headquarters from 1966 to 1971, between the two. Please reconsider and cite.",ARCO
exxon mobil,Exxon Mobil,1955,1995,41,"1955-1989 New York City, New York | 1990-1995 Irving, Texas",DISPUTED BY ONE YEAR. You gave Irving from 1990. Wikidata carries a DATED statement of Las Colinas 1989-1999 for the Exxon entity. Which is right?,ExxonMobil
bestfoods,Bestfoods,1955,2000,35,"1955-1967 New York City, New York | 1968-2000 Englewood Cliffs, New Jersey","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Hellmann's and Best Foods
kraft,Kraft,1955,1988,34,"1955-1971 New York City, New York | 1972-1988 Glenview, Illinois","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Glenview). Please reconsider.",Kraft Foods
georgia pacific,Georgia-Pacific Corporation,1955,2005,33,"1955-1981 Portland, Oregon | 1982-2005 Atlanta, Georgia",PARTLY UNCONFIRMED. The article supports Atlanta but never mentions Portland. Is that era right?,Georgia-Pacific
general foods,General Foods,1955,1986,32,"1955-1982 White Plains, New York | 1983-1986 Rye Brook, New York",PARTLY UNCONFIRMED. The article supports Rye Brook but never mentions White Plains. Is that era right?,General Foods
citgo petroleum,Citgo Petroleum,1955,1994,31,"1955-1969 New York City, New York | 1970-1994 Tulsa, Oklahoma",PARTLY UNCONFIRMED. The article supports Tulsa but never mentions New York City. Is that era right?,Citgo
honeywell,Honeywell,1955,1995,31,"1955-1995 Minneapolis, Minnesota",UNCONFIRMED. The article mentions a headquarters but never any city you named (Minneapolis). Please reconsider.,Honeywell
at and t technologies,AT&T Technologies,1955,1984,30,"1955-1983 New York City, New York | 1984-1984 Berkeley Heights, New Jersey","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",AT&T Technologies
tenneco automotive,Tenneco Automotive Inc.,1966,2005,30,"1966-1995 Houston, Texas | 1996-1999 Greenwich, Connecticut | 2000-2005 Lake Forest, Illinois","UNCONFIRMED. The article mentions a headquarters but never any city you named (Houston, Greenwich, Lake Forest). Please reconsider.",Tenneco
continental group,Continental Group,1955,1984,30,"1955-1977 New York City, New York | 1978-1984 Stamford, Connecticut","UNCONFIRMED. The article mentions a headquarters but never any city you named (New York City, Stamford). Please reconsider.",Irish Continental Group
bendix,Bendix,1955,1983,29,"1955-1967 Detroit, Michigan | 1968-1983 Southfield, Michigan","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Bendix
esmark,Esmark,1955,1984,28,"1955-1984 Chicago, Illinois","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",Esmark
national intergroup,National Intergroup,1955,1985,28,"1955-1985 Pittsburgh, Pennsylvania","NO EVIDENCE. The Wikipedia article I checked says nothing about a headquarters at all, so your answer is unverified rather than wrong. A citation would settle it.",National identity
